date,product_id,vendor,category,price
2026-04-27,157225,chemist_warehouse,goodnight_pads,4.62
2026-04-27,37871,chemist_warehouse,goodnight_pads,4.0
2026-04-27,44797,chemist_warehouse,goodnight_pads,4.62
2026-04-27,58869,chemist_warehouse,goodnight_pads,4.46
2026-04-27,61260,chemist_warehouse,goodnight_pads,4.46
2026-04-27,66115,chemist_warehouse,goodnight_pads,2.99
2026-04-27,74835,chemist_warehouse,goodnight_pads,8.4
2026-04-27,88177,chemist_warehouse,goodnight_pads,4.46
2026-04-27,88803,chemist_warehouse,goodnight_pads,4.46
2026-04-27,89413,chemist_warehouse,goodnight_pads,8.4
2026-04-27,119222,chemist_warehouse,liners,2.97
2026-04-27,119223,chemist_warehouse,liners,3.74
2026-04-27,122563,chemist_warehouse,liners,2.97
2026-04-27,68891,chemist_warehouse,liners,2.94
2026-04-27,88320,chemist_warehouse,liners,3.5
2026-04-27,141193,chemist_warehouse,regular_pads,6.99
2026-04-27,31497,chemist_warehouse,regular_pads,4.62
2026-04-27,35507,chemist_warehouse,regular_pads,4.62
2026-04-27,44564,chemist_warehouse,regular_pads,4.39
2026-04-27,61258,chemist_warehouse,regular_pads,4.46
2026-04-27,83568,chemist_warehouse,regular_pads,6.3
2026-04-27,115454,chemist_warehouse,shampoo,8.49
2026-04-27,115455,chemist_warehouse,shampoo,8.49
2026-04-27,122041,chemist_warehouse,shampoo,22.99
2026-04-27,122042,chemist_warehouse,shampoo,36.99
2026-04-27,152925,chemist_warehouse,shampoo,4.99
2026-04-27,63253,chemist_warehouse,shampoo,6.49
2026-04-27,63255,chemist_warehouse,shampoo,6.49
2026-04-27,64484,chemist_warehouse,shampoo,6.49
2026-04-27,64487,chemist_warehouse,shampoo,6.49
2026-04-27,65521,chemist_warehouse,shampoo,3.99
2026-04-27,66509,chemist_warehouse,shampoo,3.84
2026-04-27,66510,chemist_warehouse,shampoo,3.84
2026-04-27,66511,chemist_warehouse,shampoo,3.84
2026-04-27,72200,chemist_warehouse,shampoo,6.49
2026-04-27,77857,chemist_warehouse,shampoo,11.99
2026-04-27,79687,chemist_warehouse,shampoo,25.69
2026-04-27,86965,chemist_warehouse,shampoo,13.99
2026-04-27,91155,chemist_warehouse,shampoo,6.99
2026-04-27,91511,chemist_warehouse,shampoo,5.49
2026-04-27,165328,chemist_warehouse,small_pads,4.39
2026-04-27,85219,chemist_warehouse,small_pads,4.62
2026-04-27,1132685,coles,granola,6.0
2026-04-27,1132812,coles,granola,6.0
2026-04-27,1135311,coles,granola,6.5
2026-04-27,1156592,coles,granola,9.0
2026-04-27,1156606,coles,granola,9.0
2026-04-27,1156617,coles,granola,9.0
2026-04-27,1700868,coles,granola,9.5
2026-04-27,1700890,coles,granola,9.5
2026-04-27,1750254,coles,granola,7.0
2026-04-27,1784937,coles,granola,9.5
2026-04-27,2499255,coles,granola,7.0
2026-04-27,3215105,coles,granola,7.0
2026-04-27,3281041,coles,granola,15.0
2026-04-27,3281063,coles,granola,15.0
2026-04-27,3500327,coles,granola,6.0
2026-04-27,3500382,coles,granola,6.0
2026-04-27,3590104,coles,granola,15.0
2026-04-27,3758042,coles,granola,11.0
2026-04-27,3779381,coles,granola,7.0
2026-04-27,3779428,coles,granola,9.0
2026-04-27,3779450,coles,granola,9.0
2026-04-27,4308551,coles,granola,11.0
2026-04-27,4308631,coles,granola,6.0
2026-04-27,4310848,coles,granola,7.0
2026-04-27,4312821,coles,granola,9.0
2026-04-27,4312832,coles,granola,9.0
2026-04-27,4312843,coles,granola,9.0
2026-04-27,5288482,coles,granola,9.0
2026-04-27,5293507,coles,granola,7.0
2026-04-27,5297417,coles,granola,6.0
2026-04-27,7043624,coles,granola,6.0
2026-04-27,7062550,coles,granola,6.5
2026-04-27,7062560,coles,granola,6.5
2026-04-27,7062811,coles,granola,7.0
2026-04-27,7083221,coles,granola,8.5
2026-04-27,7083243,coles,granola,8.5
2026-04-27,8146451,coles,granola,16.0
2026-04-27,8153038,coles,granola,16.0
2026-04-27,8153050,coles,granola,16.0
2026-04-27,8153082,coles,granola,16.0
2026-04-27,8153173,coles,granola,16.0
2026-04-27,8386273,coles,granola,15.0
2026-04-27,8386284,coles,granola,15.0
2026-04-27,8386295,coles,granola,15.0
2026-04-27,8386309,coles,granola,15.0
2026-04-27,8386310,coles,granola,15.0
2026-04-27,8593052,coles,granola,7.0
2026-04-27,8593100,coles,granola,7.0
2026-04-27,8593143,coles,granola,13.0
2026-04-27,8848867,coles,granola,10.0
2026-04-27,8848889,coles,granola,10.0
2026-04-27,8849338,coles,granola,10.0
2026-04-27,8953690,coles,granola,8.5
2026-04-27,8956429,coles,granola,8.5
2026-04-27,8957501,coles,granola,8.5
2026-04-27,8962090,coles,granola,6.0
2026-04-27,8962115,coles,granola,6.0
2026-04-27,8962126,coles,granola,6.0
2026-04-27,8962137,coles,granola,6.0
2026-04-27,9013023,coles,granola,12.5
2026-04-27,9026160,coles,granola,2.95
2026-04-27,9026400,coles,granola,7.0
2026-04-27,9026740,coles,granola,13.0
2026-04-27,9026783,coles,granola,13.0
2026-04-27,9031433,coles,granola,7.3
2026-04-27,9467745,coles,granola,4.0
2026-04-27,1281572,coles,tissue,2.6
2026-04-27,1813365,coles,tissue,26.1
2026-04-27,2372797,coles,tissue,2.6
2026-04-27,3055268,coles,tissue,2.5
2026-04-27,3055290,coles,tissue,2.5
2026-04-27,3157745,coles,tissue,4.5
2026-04-27,3661246,coles,tissue,3.0
2026-04-27,3661268,coles,tissue,3.0
2026-04-27,5080936,coles,tissue,2.2
2026-04-27,5118857,coles,tissue,3.8
2026-04-27,5749086,coles,tissue,2.6
2026-04-27,5749166,coles,tissue,3.0
2026-04-27,5834527,coles,tissue,2.2
2026-04-27,6325314,coles,tissue,2.9
2026-04-27,6891231,coles,tissue,1.45
2026-04-27,7340120,coles,tissue,4.5
2026-04-27,8053598,coles,tissue,3.2
2026-04-27,8065804,coles,tissue,1.7
2026-04-27,8134758,coles,tissue,2.8
2026-04-27,8134780,coles,tissue,2.8
2026-04-27,9092540,coles,tissue,5.0
2026-04-27,9110234,coles,tissue,2.95
2026-04-27,9161519,coles,tissue,1.9
2026-04-27,9161530,coles,tissue,1.35
2026-04-27,9333818,coles,tissue,3.5
2026-04-27,9493100,coles,tissue,4.0
2026-04-27,1145428,coles,toilet_paper,21.5
2026-04-27,1145440,coles,toilet_paper,17.6
2026-04-27,1619475,coles,toilet_paper,12.0
2026-04-27,1619500,coles,toilet_paper,2.9
2026-04-27,1619533,coles,toilet_paper,5.8
2026-04-27,1620044,coles,toilet_paper,7.9
2026-04-27,2244549,coles,toilet_paper,19.0
2026-04-27,3055202,coles,toilet_paper,13.5
2026-04-27,3055257,coles,toilet_paper,6.5
2026-04-27,3064076,coles,toilet_paper,9.0
2026-04-27,3517115,coles,toilet_paper,12.0
2026-04-27,3974092,coles,toilet_paper,10.0
2026-04-27,3974730,coles,toilet_paper,3.8
2026-04-27,5034000,coles,toilet_paper,13.0
2026-04-27,5034134,coles,toilet_paper,8.5
2026-04-27,5865350,coles,toilet_paper,11.0
2026-04-27,7028030,coles,toilet_paper,18.0
2026-04-27,7758634,coles,toilet_paper,11.0
2026-04-27,8685092,coles,toilet_paper,4.0
2026-04-27,9102054,coles,toilet_paper,2.9
2026-04-27,9152370,coles,toilet_paper,9.5
2026-04-27,9152391,coles,toilet_paper,4.6
2026-04-27,9152405,coles,toilet_paper,7.5
2026-04-27,9642980,coles,toilet_paper,6.0
2026-04-27,9800265,coles,toilet_paper,5.8
2026-04-27,147307,woolworths,granola,12.7
2026-04-27,184937,woolworths,granola,5.85
2026-04-27,207593,woolworths,granola,5.6
2026-04-27,208083,woolworths,granola,10.0
2026-04-27,208879,woolworths,granola,12.8
2026-04-27,208900,woolworths,granola,8.9
2026-04-27,225360,woolworths,granola,10.0
2026-04-27,225942,woolworths,granola,9.5
2026-04-27,272603,woolworths,granola,8.5
2026-04-27,304776,woolworths,granola,15.0
2026-04-27,377308,woolworths,granola,5.85
2026-04-27,420783,woolworths,granola,9.0
2026-04-27,435447,woolworths,granola,9.5
2026-04-27,435816,woolworths,granola,8.5
2026-04-27,440154,woolworths,granola,8.5
2026-04-27,566256,woolworths,granola,6.0
2026-04-27,601574,woolworths,granola,7.5
2026-04-27,6016152,woolworths,granola,12.5
2026-04-27,6029127,woolworths,granola,9.0
2026-04-27,6030841,woolworths,granola,9.0
2026-04-27,6031000,woolworths,granola,9.0
